"Inter","Verona","Empoli","Torino","Bologna","Udinese","Napoli","Roma","Cagliari","Sampdoria","Atalanta","Lazio","Fiorentina","Juventus","Genoa","Sassuolo","Milan","Salernitana","Spezia","Venezia"
95,52,49,52,44,44,78,59,28,35,68,63,74,64,29,55,81,19,25,29
90,56,41,59,58,53,77,56,24,43,76,60,58,79,21,46,80,14,34,23
93,48,57,56,56,55,76,60,28,38,69,63,62,68,22,42,79,17,28,27
93,40,49,55,41,51,78,58,28,41,67,66,73,69,19,57,82,14,36,24
88,62,56,39,55,55,78,72,32,50,74,52,56,59,19,45,76,17,29,26
88,48,54,58,43,42,81,62,34,46,76,62,56,66,17,46,75,17,35,31
82,51,46,51,43,48,82,59,27,41,80,61,71,76,27,46,79,22,28,31
96,51,40,58,45,49,74,66,26,35,79,69,62,58,22,57,85,12,32,32
85,49,52,62,50,37,85,71,34,40,65,66,62,71,18,43,72,13,29,38
85,49,48,58,56,40,76,65,15,43,73,62,69,78,21,46,79,21,30,31
90,56,53,51,59,53,84,57,24,38,69,64,62,74,19,48,87,17,27,24
94,50,34,54,47,56,78,55,31,44,69,67,63,74,22,44,85,18,26,33
85,55,47,53,48,41,74,56,33,43,66,61,62,69,20,58,80,20,37,28
91,51,55,46,50,52,79,63,29,34,69,56,69,63,26,56,84,15,21,30
