"Inter","Verona","Empoli","Torino","Bologna","Udinese","Napoli","Roma","Cagliari","Sampdoria","Atalanta","Lazio","Fiorentina","Juventus","Genoa","Sassuolo","Milan","Salernitana","Spezia","Venezia"
96,52,46,49,47,42,71,55,23,33,79,60,57,72,23,63,88,23,33,28
84,58,44,55,41,40,76,66,20,39,74,62,71,68,21,46,82,21,37,32
85,53,48,56,53,50,76,63,25,44,75,54,59,74,20,50,79,20,31,30
89,48,45,57,59,52,77,62,24,35,69,63,62,80,23,47,82,18,34,30
86,54,43,49,47,45,80,65,31,42,70,66,64,66,20,47,80,17,33,34
94,45,48,46,50,44,80,59,31,36,70,61,69,76,21,55,76,16,37,25
85,57,43,45,47,56,86,66,20,44,84,56,69,66,22,51,71,19,34,24
86,49,54,57,56,50,78,67,23,43,84,58,63,66,19,45,72,18,30,32
84,54,50,60,49,53,77,61,28,43,73,51,56,70,30,48,82,13,28,28
90,50,46,55,49,47,81,54,20,44,73,55,57,68,20,51,89,28,28,32
91,47,47,50,54,60,84,67,31,29,69,50,71,72,20,54,81,15,31,32
87,50,53,50,53,44,71,64,28,33,76,66,56,69,24,44,81,23,37,31
86,58,44,56,60,52,71,65,22,40,68,60,62,73,21,46,78,19,26,29
90,52,48,55,46,48,83,67,23,34,72,56,71,72,15,46,86,16,36,33
92,37,45,61,60,46,69,71,31,41,72,63,62,70,25,45,80,15,34,26
92,60,55,58,60,43,73,53,26,50,69,51,64,67,23,49,74,17,26,29
94,53,47,50,45,44,75,61,27,32,73,67,63,65,18,55,83,26,36,29
85,52,42,60,42,41,87,62,26,48,66,59,49,69,27,59,83,18,32,28
87,50,44,62,48,55,74,59,25,39,65,65,69,70,21,50,80,16,35,30
89,46,47,54,56,45,82,65,26,39,67,63,64,67,25,48,77,23,22,26
94,54,46,58,46,51,80,57,29,36,72,64,58,74,20,52,76,21,28,24
85,50,53,55,45,54,77,60,27,40,76,61,66,73,21,46,76,19,28,37
86,57,41,44,49,50,76,68,20,34,72,68,61,59,25,49,78,25,33,38
87,46,47,56,43,46,81,65,29,40,68,60,58,75,22,45,82,18,30,33
94,41,53,54,52,33,84,62,35,34,86,63,68,64,22,52,72,19,22,31
96,50,42,55,44,50,78,68,26,36,77,57,72,70,29,45,73,13,33,24
87,45,40,64,44,50,74,69,27,55,73,57,58,77,19,56,78,16,35,24
95,53,51,46,48,52,75,60,31,29,78,61,58,70,23,50,85,26,22,29
93,50,43,50,54,48,82,62,32,38,68,55,66,67,24,48,74,21,33,28
87,42,44,52,58,52,81,60,30,40,78,66,65,61,32,51,74,16,25,28
85,50,39,52,51,48,84,66,28,39,77,63,64,68,24,57,79,23,22,26
87,48,46,56,46,55,87,65,23,36,71,61,63,62,26,54,82,21,36,26
94,52,46,51,43,51,69,63,20,34,77,69,62,66,17,52,80,23,37,32
90,48,61,60,45,51,77,69,24,36,71,57,70,75,24,44,76,16,28,30
88,52,45,51,51,45,80,59,24,48,69,61,59,71,18,40,75,21,41,35
92,46,51,45,53,49,80,60,27,45,76,59,63,72,21,47,79,14,31,27
85,48,44,54,55,54,80,66,22,37,78,56,66,63,21,60,75,20,30,28
86,51,43,57,53,56,84,58,21,34,66,56,61,72,18,50,78,19,38,35
87,46,48,52,54,41,79,72,20,31,76,59,63,64,24,56,78,25,41,25
85,48,49,46,62,54,76,59,29,34,70,68,67,65,24,40,81,18,31,32
85,56,53,58,47,46,78,63,21,39,72,61,66,68,19,48,71,20,31,31
95,55,45,55,56,42,68,52,37,45,72,70,74,62,16,46,78,20,34,25
86,46,42,57,63,49,80,62,29,43,66,66,61,57,22,44,78,20,37,27
100,58,38,53,52,50,76,62,27,38,73,61,63,70,18,44,76,16,31,36
78,45,46,63,42,50,76,79,28,38,77,60,60,74,18,53,80,13,32,31
78,59,53,45,52,49,72,66,29,36,72,57,57,82,21,48,86,20,36,27
91,56,54,36,48,44,70,67,27,48,71,60,66,67,20,42,76,21,28,48
86,55,44,62,47,50,67,70,30,39,78,65,59,67,20,46,77,21,30,27
85,54,49,54,56,49,77,63,26,40,66,56,64,73,23,43,75,19,39,31
88,44,54,58,61,47,84,56,21,36,69,61,63,72,15,44,77,20,47,31
89,51,46,52,50,48,80,57,25,37,78,65,59,73,18,55,76,14,31,35
94,46,47,45,50,49,79,62,27,46,66,65,60,76,17,49,87,17,37,29
87,58,49,55,58,42,76,62,21,31,77,61,58,71,25,50,77,24,35,30
91,52,39,57,50,47,78,59,27,42,67,63,63,75,27,46,81,21,29,27
83,44,49,56,45,42,76,64,24,44,73,59,71,72,23,44,82,16,47,32
86,52,56,47,45,47,77,75,28,33,62,62,63,72,23,49,74,23,26,30
86,53,46,60,45,43,78,69,29,42,72,59,59,71,21,54,79,19,27,31
78,60,41,62,58,44,84,62,20,40,81,63,64,67,20,48,81,20,29,27
79,60,46,53,53,58,80,60,27,36,66,59,60,68,21,48,83,19,33,29
84,56,52,53,48,47,76,74,31,38,75,65,51,66,22,54,79,11,29,30
93,50,41,50,45,46,81,56,25,40,77,67,53,65,21,59,83,21,36,32
87,54,48,60,47,49,68,69,24,43,62,57,56,70,22,51,79,16,36,28
88,54,39,64,48,57,79,56,37,35,69,52,68,65,21,44,80,22,25,34
86,56,44,53,56,46,79,66,31,37,74,66,64,72,21,41,79,17,28,29
86,57,49,50,49,47,76,67,26,40,77,58,60,73,22,51,79,13,29,29
95,51,53,63,56,48,80,67,23,34,68,51,54,74,22,39,78,24,37,26
90,53,50,59,43,49,82,59,25,41,64,64,62,69,18,42,88,20,30,26
84,52,42,58,46,48,82,63,27,36,72,60,62,63,26,40,93,20,34,30
89,52,42,55,44,44,72,56,24,37,71,61,79,67,21,53,74,21,38,31
90,54,47,51,58,49,74,67,23,48,67,59,62,66,18,45,72,24,24,33
86,49,46,48,49,52,74,71,27,36,72,67,63,65,17,53,85,17,35,31
91,57,44,54,49,44,75,64,25,40,66,71,59,70,27,54,81,18,26,31
81,55,54,56,54,57,72,68,26,39,72,58,49,64,18,52,72,18,32,30
82,55,49,50,54,43,74,53,25,35,73,65,58,74,23,57,80,18,31,37
86,53,47,55,54,52,84,65,29,36,65,56,62,71,19,53,82,14,29,34
87,55,46,49,54,46,82,62,25,34,78,64,59,74,17,44,76,15,34,34
87,51,42,51,54,41,86,58,23,40,68,66,66,70,24,57,82,25,21,29
82,52,50,54,47,52,78,59,27,35,74,72,59,63,27,49,82,17,30,28
90,57,48,51,50,47,75,62,26,43,69,67,63,59,22,44,84,18,33,31
87,46,43,54,44,50,86,62,22,45,84,62,62,62,25,48,77,15,32,32
87,44,45,47,58,37,79,65,21,48,67,57,71,74,19,40,87,26,34,37
91,55,51,50,51,45,72,61,27,43,73,61,59,64,17,49,86,15,34,28
95,50,52,40,60,52,80,68,34,33,66,52,57,65,27,43,76,28,30,30
84,52,43,53,53,36,84,64,25,45,70,70,60,72,16,58,80,22,30,28
84,50,41,62,55,40,82,69,23,44,62,69,61,72,21,55,75,13,30,32
88,63,49,53,55,44,74,60,25,33,74,55,61,69,25,50,75,23,38,29
95,56,62,39,49,45,82,62,27,39,77,56,52,73,21,48,81,21,26,29
88,43,55,56,51,59,68,71,28,43,57,60,64,65,16,43,87,16,35,38
92,50,51,61,45,42,75,61,27,35,67,64,64,71,18,47,80,18,30,37
92,53,49,53,44,49,83,68,24,41,69,72,66,74,15,43,71,21,30,27
91,53,41,47,61,51,70,62,18,42,77,60,61,67,27,47,75,25,31,29
